entitlement_id,person_id,acct_id,platform,role_id,role_name,is_admin_role,permission_id,resource,action,privilege_level,is_sensitive,granted_at
ENT-000022,ID-0038,acct-azu-ID-0038-1456d4,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-00-04,subscriptions,admin,admin,True,2026-06-12T12:25:03.480259
ENT-000023,ID-0038,acct-azu-ID-0038-1456d4,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-00,aad-users,read,read,False,2026-06-12T12:25:03.480259
ENT-000024,ID-0039,acct-git-ID-0039-c6998b,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2025-09-24T12:25:03.480259
ENT-000025,ID-0039,acct-git-ID-0039-c6998b,github,role-git-001,Admin,True,perm-git-04-02,settings,create,write,False,2025-09-24T12:25:03.480259
ENT-000026,ID-0039,acct-aws-ID-0039-9d5707,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-02,lambda:*,create,write,False,2026-06-12T12:25:03.480259
ENT-000027,ID-0039,acct-aws-ID-0039-9d5707,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-01,lambda:*,write,write,False,2026-06-12T12:25:03.480259
ENT-000028,ID-0040,acct-sal-ID-0040-92124c,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-01,setup,write,write,False,2026-06-02T12:25:03.480259
ENT-000029,ID-0040,acct-aws-ID-0040-21737d,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-05,lambda:*,execute,write,False,2025-09-30T12:25:03.480259
ENT-000030,ID-0040,acct-aws-ID-0040-21737d,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-01,lambda:*,write,write,False,2025-09-30T12:25:03.480259
ENT-000031,ID-0040,acct-aws-ID-0040-21737d,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-04,lambda:*,admin,admin,True,2025-09-30T12:25:03.480259
ENT-000032,ID-0040,acct-azu-ID-0040-d0419c,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-02,subscriptions,create,write,False,2025-07-20T12:25:03.480259
ENT-000033,ID-0040,acct-azu-ID-0040-d0419c,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-01,subscriptions,write,write,False,2025-07-20T12:25:03.480259
ENT-000034,ID-0040,acct-azu-ID-0040-d0419c,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-03,subscriptions,delete,admin,True,2025-07-20T12:25:03.480259
ENT-000035,ID-0040,acct-azu-ID-0040-d0419c,azure_ad,role-azu-002,User Administrator,True,perm-azu-04-02,app-registrations,create,write,False,2025-07-20T12:25:03.480259
ENT-000036,ID-0040,acct-act-ID-0040-37684c,active_directory,role-act-001,Enterprise Admin,True,perm-act-02-01,exchange,write,write,False,2025-12-05T12:25:03.480259
ENT-000037,ID-0040,acct-act-ID-0040-37684c,active_directory,role-act-001,Enterprise Admin,True,perm-act-01-00,file-server,read,read,False,2025-12-05T12:25:03.480259
ENT-000038,ID-0041,acct-aws-ID-0041-9157fc,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-02,lambda:*,create,write,False,2026-01-04T12:25:03.480259
ENT-000039,ID-0041,acct-aws-ID-0041-9157fc,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-01,lambda:*,write,write,False,2026-01-04T12:25:03.480259
ENT-000040,ID-0041,acct-act-ID-0041-4f6687,active_directory,role-act-001,Enterprise Admin,True,perm-act-02-01,exchange,write,write,False,2026-05-30T12:25:03.480259
ENT-000041,ID-0041,acct-act-ID-0041-4f6687,active_directory,role-act-001,Enterprise Admin,True,perm-act-01-00,file-server,read,read,False,2026-05-30T12:25:03.480259
ENT-000042,ID-0041,acct-okt-ID-0041-408db5,okta,role-okt-002,App Admin,True,perm-okt-04-02,policies,create,write,False,2025-10-01T12:25:03.480259
ENT-000043,ID-0041,acct-okt-ID-0041-408db5,okta,role-okt-002,App Admin,True,perm-okt-04-01,policies,write,write,False,2025-10-01T12:25:03.480259
ENT-000044,ID-0041,acct-okt-ID-0041-408db5,okta,role-okt-002,App Admin,True,perm-okt-02-04,user-management,admin,admin,True,2025-10-01T12:25:03.480259
ENT-000045,ID-0041,acct-okt-ID-0041-408db5,okta,role-okt-002,App Admin,True,perm-okt-03-01,api-tokens,write,write,False,2025-10-01T12:25:03.480259
ENT-000046,ID-0041,acct-sal-ID-0041-27279e,salesforce,role-sal-000,System Administrator,True,perm-sal-01-02,contacts,create,write,False,2026-06-03T12:25:03.480259
ENT-000047,ID-0041,acct-sal-ID-0041-27279e,salesforce,role-sal-000,System Administrator,True,perm-sal-00-02,accounts,create,write,False,2026-06-03T12:25:03.480259
ENT-000048,ID-0041,acct-sal-ID-0041-27279e,salesforce,role-sal-000,System Administrator,True,perm-sal-03-01,reports,write,write,False,2026-06-03T12:25:03.480259
ENT-000049,ID-0041,acct-sal-ID-0041-27279e,salesforce,role-sal-000,System Administrator,True,perm-sal-00-03,accounts,delete,admin,True,2026-06-03T12:25:03.480259
ENT-000050,ID-0042,acct-okt-ID-0042-ba4eef,okta,role-okt-000,Super Admin,True,perm-okt-03-04,api-tokens,admin,admin,True,2025-12-15T12:25:03.480259
ENT-000051,ID-0042,acct-okt-ID-0042-ba4eef,okta,role-okt-000,Super Admin,True,perm-okt-04-04,policies,admin,admin,True,2025-12-15T12:25:03.480259
ENT-000052,ID-0042,acct-git-ID-0042-72e7e1,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2025-09-28T12:25:03.480259
ENT-000053,ID-0042,acct-git-ID-0042-72e7e1,github,role-git-001,Admin,True,perm-git-04-02,settings,create,write,False,2025-09-28T12:25:03.480259
ENT-000054,ID-0042,acct-act-ID-0042-7ff78d,active_directory,role-act-002,Schema Admin,True,perm-act-01-03,file-server,delete,admin,True,2025-08-11T12:25:03.480259
ENT-000055,ID-0042,acct-act-ID-0042-7ff78d,active_directory,role-act-002,Schema Admin,True,perm-act-04-01,gpo,write,write,False,2025-08-11T12:25:03.480259
ENT-000056,ID-0042,acct-act-ID-0042-7ff78d,active_directory,role-act-002,Schema Admin,True,perm-act-02-00,exchange,read,read,False,2025-08-11T12:25:03.480259
ENT-000057,ID-0042,acct-act-ID-0042-7ff78d,active_directory,role-act-002,Schema Admin,True,perm-act-04-03,gpo,delete,admin,True,2025-08-11T12:25:03.480259
ENT-000058,ID-0042,acct-act-ID-0042-7ff78d,active_directory,role-act-002,Schema Admin,True,perm-act-03-03,dns,delete,admin,True,2025-08-11T12:25:03.480259
ENT-000059,ID-0043,acct-okt-ID-0043-7c4dee,okta,role-okt-000,Super Admin,True,perm-okt-03-04,api-tokens,admin,admin,True,2025-06-22T12:25:03.480259
ENT-000060,ID-0043,acct-okt-ID-0043-7c4dee,okta,role-okt-000,Super Admin,True,perm-okt-04-04,policies,admin,admin,True,2025-06-22T12:25:03.480259
ENT-000061,ID-0043,acct-azu-ID-0043-db8f95,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-02,subscriptions,create,write,False,2026-03-10T12:25:03.480259
ENT-000062,ID-0043,acct-azu-ID-0043-db8f95,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-01,subscriptions,write,write,False,2026-03-10T12:25:03.480259
ENT-000063,ID-0043,acct-azu-ID-0043-db8f95,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-03,subscriptions,delete,admin,True,2026-03-10T12:25:03.480259
ENT-000064,ID-0043,acct-azu-ID-0043-db8f95,azure_ad,role-azu-002,User Administrator,True,perm-azu-04-02,app-registrations,create,write,False,2026-03-10T12:25:03.480259
ENT-000065,ID-0044,acct-git-ID-0044-2cad1f,github,role-git-000,Owner,True,perm-git-04-00,settings,read,read,False,2025-11-23T12:25:03.480259
ENT-000066,ID-0044,acct-git-ID-0044-2cad1f,github,role-git-000,Owner,True,perm-git-03-03,packages,delete,admin,True,2025-11-23T12:25:03.480259
ENT-000067,ID-0044,acct-git-ID-0044-2cad1f,github,role-git-000,Owner,True,perm-git-01-03,repos:public,delete,admin,True,2025-11-23T12:25:03.480259
ENT-000068,ID-0044,acct-git-ID-0044-2cad1f,github,role-git-000,Owner,True,perm-git-04-01,settings,write,write,False,2025-11-23T12:25:03.480259
ENT-000069,ID-0044,acct-git-ID-0044-2cad1f,github,role-git-000,Owner,True,perm-git-03-01,packages,write,write,False,2025-11-23T12:25:03.480259
ENT-000070,ID-0044,acct-ser-ID-0044-eee00b,servicenow,role-ser-000,admin,True,perm-ser-00-01,incidents,write,write,False,2025-07-07T12:25:03.480259
ENT-000071,ID-0044,acct-ser-ID-0044-eee00b,servicenow,role-ser-000,admin,True,perm-ser-03-00,workflows,read,read,False,2025-07-07T12:25:03.480259
ENT-000072,ID-0044,acct-ser-ID-0044-eee00b,servicenow,role-ser-000,admin,True,perm-ser-04-05,service-catalog,execute,write,False,2025-07-07T12:25:03.480259
ENT-000073,ID-0044,acct-ser-ID-0044-eee00b,servicenow,role-ser-000,admin,True,perm-ser-00-00,incidents,read,read,False,2025-07-07T12:25:03.480259
ENT-000074,ID-0044,acct-ser-ID-0044-eee00b,servicenow,role-ser-000,admin,True,perm-ser-02-02,cmdb,create,write,False,2025-07-07T12:25:03.480259
ENT-000075,ID-0044,acct-aws-ID-0044-af878a,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-01-02,ec2:*,create,write,False,2025-11-11T12:25:03.480259
ENT-000076,ID-0044,acct-aws-ID-0044-af878a,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-02-05,iam:*,execute,write,False,2025-11-11T12:25:03.480259
ENT-000077,ID-0045,acct-azu-ID-0045-b4bc57,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-03,aad-users,delete,admin,True,2025-08-04T12:25:03.480259
ENT-000078,ID-0045,acct-azu-ID-0045-b4bc57,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-01-02,keyvault,create,write,False,2025-08-04T12:25:03.480259
ENT-000079,ID-0045,acct-azu-ID-0045-b4bc57,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-00-04,subscriptions,admin,admin,True,2025-08-04T12:25:03.480259
ENT-000080,ID-0045,acct-azu-ID-0045-b4bc57,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-00,aad-users,read,read,False,2025-08-04T12:25:03.480259
ENT-000081,ID-0045,acct-aws-ID-0045-501e66,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-02,lambda:*,create,write,False,2025-08-05T12:25:03.480259
ENT-000082,ID-0045,acct-aws-ID-0045-501e66,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-01,lambda:*,write,write,False,2025-08-05T12:25:03.480259
ENT-000083,ID-0046,acct-act-ID-0046-458435,active_directory,role-act-001,Enterprise Admin,True,perm-act-02-01,exchange,write,write,False,2026-01-17T12:25:03.480259
ENT-000084,ID-0046,acct-act-ID-0046-458435,active_directory,role-act-001,Enterprise Admin,True,perm-act-01-00,file-server,read,read,False,2026-01-17T12:25:03.480259
ENT-000085,ID-0046,acct-sal-ID-0046-a7e18f,salesforce,role-sal-000,System Administrator,True,perm-sal-01-02,contacts,create,write,False,2025-10-16T12:25:03.480259
ENT-000086,ID-0046,acct-sal-ID-0046-a7e18f,salesforce,role-sal-000,System Administrator,True,perm-sal-00-02,accounts,create,write,False,2025-10-16T12:25:03.480259
ENT-000087,ID-0046,acct-sal-ID-0046-a7e18f,salesforce,role-sal-000,System Administrator,True,perm-sal-03-01,reports,write,write,False,2025-10-16T12:25:03.480259
ENT-000088,ID-0046,acct-sal-ID-0046-a7e18f,salesforce,role-sal-000,System Administrator,True,perm-sal-00-03,accounts,delete,admin,True,2025-10-16T12:25:03.480259
ENT-000089,ID-0047,acct-ser-ID-0047-297938,servicenow,role-ser-001,security_admin,True,perm-ser-04-04,service-catalog,admin,admin,True,2026-02-17T12:25:03.480259
ENT-000090,ID-0047,acct-ser-ID-0047-297938,servicenow,role-ser-001,security_admin,True,perm-ser-04-05,service-catalog,execute,write,False,2026-02-17T12:25:03.480259
ENT-000091,ID-0047,acct-ser-ID-0047-297938,servicenow,role-ser-001,security_admin,True,perm-ser-01-02,changes,create,write,False,2026-02-17T12:25:03.480259
ENT-000092,ID-0047,acct-ser-ID-0047-297938,servicenow,role-ser-001,security_admin,True,perm-ser-00-00,incidents,read,read,False,2026-02-17T12:25:03.480259
ENT-000093,ID-0047,acct-sal-ID-0047-a36a1d,salesforce,role-sal-000,System Administrator,True,perm-sal-01-02,contacts,create,write,False,2025-08-09T12:25:03.480259
ENT-000094,ID-0047,acct-sal-ID-0047-a36a1d,salesforce,role-sal-000,System Administrator,True,perm-sal-00-02,accounts,create,write,False,2025-08-09T12:25:03.480259
ENT-000095,ID-0047,acct-sal-ID-0047-a36a1d,salesforce,role-sal-000,System Administrator,True,perm-sal-03-01,reports,write,write,False,2025-08-09T12:25:03.480259
ENT-000096,ID-0047,acct-sal-ID-0047-a36a1d,salesforce,role-sal-000,System Administrator,True,perm-sal-00-03,accounts,delete,admin,True,2025-08-09T12:25:03.480259
ENT-000097,ID-0047,acct-aws-ID-0047-8e8741,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-05,lambda:*,execute,write,False,2026-03-31T12:25:03.480259
ENT-000098,ID-0047,acct-aws-ID-0047-8e8741,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-01,lambda:*,write,write,False,2026-03-31T12:25:03.480259
ENT-000099,ID-0047,acct-aws-ID-0047-8e8741,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-04,lambda:*,admin,admin,True,2026-03-31T12:25:03.480259
ENT-000100,ID-0048,acct-act-ID-0048-d2aa2a,active_directory,role-act-001,Enterprise Admin,True,perm-act-02-01,exchange,write,write,False,2026-01-27T12:25:03.480259
ENT-000101,ID-0048,acct-act-ID-0048-d2aa2a,active_directory,role-act-001,Enterprise Admin,True,perm-act-01-00,file-server,read,read,False,2026-01-27T12:25:03.480259
ENT-000102,ID-0048,acct-okt-ID-0048-4e8523,okta,role-okt-002,App Admin,True,perm-okt-04-02,policies,create,write,False,2025-12-15T12:25:03.480259
ENT-000103,ID-0048,acct-okt-ID-0048-4e8523,okta,role-okt-002,App Admin,True,perm-okt-04-01,policies,write,write,False,2025-12-15T12:25:03.480259
ENT-000104,ID-0048,acct-okt-ID-0048-4e8523,okta,role-okt-002,App Admin,True,perm-okt-02-04,user-management,admin,admin,True,2025-12-15T12:25:03.480259
ENT-000105,ID-0048,acct-okt-ID-0048-4e8523,okta,role-okt-002,App Admin,True,perm-okt-03-01,api-tokens,write,write,False,2025-12-15T12:25:03.480259
ENT-000106,ID-0049,acct-aws-ID-0049-fbe47d,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-01-02,ec2:*,create,write,False,2026-04-08T12:25:03.480259
ENT-000107,ID-0049,acct-aws-ID-0049-fbe47d,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-02-05,iam:*,execute,write,False,2026-04-08T12:25:03.480259
ENT-000108,ID-0049,acct-act-ID-0049-99746d,active_directory,role-act-002,Schema Admin,True,perm-act-01-03,file-server,delete,admin,True,2025-10-30T12:25:03.480259
ENT-000109,ID-0049,acct-act-ID-0049-99746d,active_directory,role-act-002,Schema Admin,True,perm-act-04-01,gpo,write,write,False,2025-10-30T12:25:03.480259
ENT-000110,ID-0049,acct-act-ID-0049-99746d,active_directory,role-act-002,Schema Admin,True,perm-act-02-00,exchange,read,read,False,2025-10-30T12:25:03.480259
ENT-000111,ID-0049,acct-act-ID-0049-99746d,active_directory,role-act-002,Schema Admin,True,perm-act-04-03,gpo,delete,admin,True,2025-10-30T12:25:03.480259
ENT-000112,ID-0049,acct-act-ID-0049-99746d,active_directory,role-act-002,Schema Admin,True,perm-act-03-03,dns,delete,admin,True,2025-10-30T12:25:03.480259
ENT-000113,ID-0049,acct-okt-ID-0049-d444da,okta,role-okt-002,App Admin,True,perm-okt-04-02,policies,create,write,False,2025-12-30T12:25:03.480259
ENT-000114,ID-0049,acct-okt-ID-0049-d444da,okta,role-okt-002,App Admin,True,perm-okt-04-01,policies,write,write,False,2025-12-30T12:25:03.480259
ENT-000115,ID-0049,acct-okt-ID-0049-d444da,okta,role-okt-002,App Admin,True,perm-okt-02-04,user-management,admin,admin,True,2025-12-30T12:25:03.480259
ENT-000116,ID-0049,acct-okt-ID-0049-d444da,okta,role-okt-002,App Admin,True,perm-okt-03-01,api-tokens,write,write,False,2025-12-30T12:25:03.480259
ENT-000117,ID-0049,acct-git-ID-0049-920750,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2026-01-14T12:25:03.480259
ENT-000118,ID-0049,acct-git-ID-0049-920750,github,role-git-001,Admin,True,perm-git-04-02,settings,create,write,False,2026-01-14T12:25:03.480259
ENT-000119,ID-0050,acct-ser-ID-0050-418252,servicenow,role-ser-002,itil_admin,True,perm-ser-00-02,incidents,create,write,False,2025-07-07T12:25:03.480259
ENT-000120,ID-0050,acct-ser-ID-0050-418252,servicenow,role-ser-002,itil_admin,True,perm-ser-01-02,changes,create,write,False,2025-07-07T12:25:03.480259
ENT-000121,ID-0050,acct-ser-ID-0050-418252,servicenow,role-ser-002,itil_admin,True,perm-ser-04-05,service-catalog,execute,write,False,2025-07-07T12:25:03.480259
ENT-000122,ID-0050,acct-ser-ID-0050-418252,servicenow,role-ser-002,itil_admin,True,perm-ser-02-02,cmdb,create,write,False,2025-07-07T12:25:03.480259
ENT-000123,ID-0050,acct-ser-ID-0050-418252,servicenow,role-ser-002,itil_admin,True,perm-ser-00-01,incidents,write,write,False,2025-07-07T12:25:03.480259
ENT-000124,ID-0050,acct-git-ID-0050-e91bc8,github,role-git-000,Owner,True,perm-git-04-00,settings,read,read,False,2025-11-21T12:25:03.480259
ENT-000125,ID-0050,acct-git-ID-0050-e91bc8,github,role-git-000,Owner,True,perm-git-03-03,packages,delete,admin,True,2025-11-21T12:25:03.480259
ENT-000126,ID-0050,acct-git-ID-0050-e91bc8,github,role-git-000,Owner,True,perm-git-01-03,repos:public,delete,admin,True,2025-11-21T12:25:03.480259
ENT-000127,ID-0050,acct-git-ID-0050-e91bc8,github,role-git-000,Owner,True,perm-git-04-01,settings,write,write,False,2025-11-21T12:25:03.480259
ENT-000128,ID-0050,acct-git-ID-0050-e91bc8,github,role-git-000,Owner,True,perm-git-03-01,packages,write,write,False,2025-11-21T12:25:03.480259
ENT-000129,ID-0050,acct-sal-ID-0050-e2fe7b,salesforce,role-sal-000,System Administrator,True,perm-sal-01-02,contacts,create,write,False,2026-04-11T12:25:03.480259
ENT-000130,ID-0050,acct-sal-ID-0050-e2fe7b,salesforce,role-sal-000,System Administrator,True,perm-sal-00-02,accounts,create,write,False,2026-04-11T12:25:03.480259
ENT-000131,ID-0050,acct-sal-ID-0050-e2fe7b,salesforce,role-sal-000,System Administrator,True,perm-sal-03-01,reports,write,write,False,2026-04-11T12:25:03.480259
ENT-000132,ID-0050,acct-sal-ID-0050-e2fe7b,salesforce,role-sal-000,System Administrator,True,perm-sal-00-03,accounts,delete,admin,True,2026-04-11T12:25:03.480259
ENT-000133,ID-0050,acct-azu-ID-0050-97d981,azure_ad,role-azu-000,Global Administrator,True,perm-azu-04-02,app-registrations,create,write,False,2025-12-27T12:25:03.480259
ENT-000134,ID-0050,acct-azu-ID-0050-97d981,azure_ad,role-azu-000,Global Administrator,True,perm-azu-02-00,aad-users,read,read,False,2025-12-27T12:25:03.480259
ENT-000135,ID-0050,acct-azu-ID-0050-97d981,azure_ad,role-azu-000,Global Administrator,True,perm-azu-03-01,conditional-access,write,write,False,2025-12-27T12:25:03.480259
ENT-000136,ID-0050,acct-azu-ID-0050-97d981,azure_ad,role-azu-000,Global Administrator,True,perm-azu-03-02,conditional-access,create,write,False,2025-12-27T12:25:03.480259
ENT-000137,ID-0050,acct-azu-ID-0050-97d981,azure_ad,role-azu-000,Global Administrator,True,perm-azu-02-01,aad-users,write,write,False,2025-12-27T12:25:03.480259
ENT-000138,ID-0051,acct-azu-ID-0051-e7acf1,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-03,aad-users,delete,admin,True,2025-06-25T12:25:03.480259
ENT-000139,ID-0051,acct-azu-ID-0051-e7acf1,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-01-02,keyvault,create,write,False,2025-06-25T12:25:03.480259
ENT-000140,ID-0051,acct-azu-ID-0051-e7acf1,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-00-04,subscriptions,admin,admin,True,2025-06-25T12:25:03.480259
ENT-000141,ID-0051,acct-azu-ID-0051-e7acf1,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-00,aad-users,read,read,False,2025-06-25T12:25:03.480259
ENT-000142,ID-0051,acct-aws-ID-0051-50d6c9,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-01-02,ec2:*,create,write,False,2025-09-15T12:25:03.480259
ENT-000143,ID-0051,acct-aws-ID-0051-50d6c9,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-02-05,iam:*,execute,write,False,2025-09-15T12:25:03.480259
ENT-000144,ID-0052,acct-aws-ID-0052-6aefbd,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-01-02,ec2:*,create,write,False,2025-09-06T12:25:03.480259
ENT-000145,ID-0052,acct-aws-ID-0052-6aefbd,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-02-05,iam:*,execute,write,False,2025-09-06T12:25:03.480259
ENT-000146,ID-0052,acct-sal-ID-0052-261cf7,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-01,setup,write,write,False,2026-02-16T12:25:03.480259
ENT-000147,ID-0053,acct-aws-ID-0053-92c03d,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-02,lambda:*,create,write,False,2025-11-24T12:25:03.480259
ENT-000148,ID-0053,acct-aws-ID-0053-92c03d,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-01,lambda:*,write,write,False,2025-11-24T12:25:03.480259
ENT-000149,ID-0053,acct-sal-ID-0053-016be8,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-01,setup,write,write,False,2026-05-06T12:25:03.480259
ENT-000150,ID-0053,acct-okt-ID-0053-a17aff,okta,role-okt-002,App Admin,True,perm-okt-04-02,policies,create,write,False,2025-11-19T12:25:03.480259
ENT-000151,ID-0053,acct-okt-ID-0053-a17aff,okta,role-okt-002,App Admin,True,perm-okt-04-01,policies,write,write,False,2025-11-19T12:25:03.480259
ENT-000152,ID-0053,acct-okt-ID-0053-a17aff,okta,role-okt-002,App Admin,True,perm-okt-02-04,user-management,admin,admin,True,2025-11-19T12:25:03.480259
ENT-000153,ID-0053,acct-okt-ID-0053-a17aff,okta,role-okt-002,App Admin,True,perm-okt-03-01,api-tokens,write,write,False,2025-11-19T12:25:03.480259
ENT-000154,ID-0054,acct-azu-ID-0054-d22528,azure_ad,role-azu-000,Global Administrator,True,perm-azu-04-02,app-registrations,create,write,False,2025-10-31T12:25:03.480259
ENT-000155,ID-0054,acct-azu-ID-0054-d22528,azure_ad,role-azu-000,Global Administrator,True,perm-azu-02-00,aad-users,read,read,False,2025-10-31T12:25:03.480259
ENT-000156,ID-0054,acct-azu-ID-0054-d22528,azure_ad,role-azu-000,Global Administrator,True,perm-azu-03-01,conditional-access,write,write,False,2025-10-31T12:25:03.480259
ENT-000157,ID-0054,acct-azu-ID-0054-d22528,azure_ad,role-azu-000,Global Administrator,True,perm-azu-03-02,conditional-access,create,write,False,2025-10-31T12:25:03.480259
ENT-000158,ID-0054,acct-azu-ID-0054-d22528,azure_ad,role-azu-000,Global Administrator,True,perm-azu-02-01,aad-users,write,write,False,2025-10-31T12:25:03.480259
ENT-000159,ID-0054,acct-sal-ID-0054-8b4eb2,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-01,setup,write,write,False,2026-04-24T12:25:03.480259
